po_number,disputedAt,disputedReason,original_oeJobId,original_invoice_number,customerName,siteName,resolution_type,overrideNotes,discrepancy_status,discrepancy_type,item,expected_rate,billed_rate,difference_per_unit,gallons,discrepancy_value,overriddenAt,overriddenBy,archivedAt,replacedByJobId
PO48431,2025-12-18T14:11:43.630Z,Minimum Billable was doubled. Should be $270.08,OE00039881,27266664,Carrix,SSAT - Long Beach - C60 - 1521 Pier C St,dispute_active,,disputed,unexpected_line_item,Minimum Billable,0,540.17,540.17,1,540.17,,,,
PO48431,2025-12-18T14:11:43.630Z,Minimum Billable was doubled. Should be $270.08,OE00039881,27266664,Carrix,SSAT - Long Beach - C60 - 1521 Pier C St,dispute_active,,detected,missing_line_item,Minimum Gallon Delivery Fee,270.92,0,-270.92,1,-270.92,,,,
PO49206,2025-12-18T13:28:36.226Z,Double Charged Minimum Billable.,OE00040156,27231171,Carrix,SSAT - Long Beach - Pier A - 700 Pier A Plaza,dispute_active,,disputed,price_discrepancy,Minimum Gallon Delivery Fee,154.72,309.44,154.72,1,154.72,,,,
PO49205,2025-12-18T13:26:40.081Z,Double charged for Minimum Billable.,OE00040157,27231163,Carrix,SSAT - Long Beach - C60 - 1521 Pier C St,dispute_active,,disputed,price_discrepancy,Minimum Gallon Delivery Fee,154.72,309.44,154.72,1,154.72,,,,
PO48910,2025-12-17T19:26:49.296Z,"Clear Diesel-Gross Contract Average Unbranded For Pittsburgh: $2.268
Jacobs Margin: $.25
Price Per Contract: $2.518
Vendor Billed: $2.7409

Difference: $.2229",OE00039537,2080775,"Lazer Spot, Inc.","Lazer - Site 102791- Morgantown, WV",dispute_active,,disputed,price_discrepancy,Clear Diesel #2 - ULS,2.518,2.7409,0.2229,72.2,16.09338,,,,
PO47244,2025-12-17T19:21:39.846Z,"Dyed Diesel-Gross Contract Average Unbranded For Pittsburgh: $2.2805
Jacobs Margin: $.25
Total Price Per Contract: $2.5305
Vendor Billed 2.6299

Difference: $.0994",OE00040025,2094154,"Lazer Spot, Inc.","Lazer - Site 102791- Morgantown, WV",dispute_active,,disputed,price_discrepancy,Clear Diesel #2 - ULS,2.5305,2.6299,0.0994,101.9,10.128860000000001,,,,
PO49141,2025-12-16T15:34:18.665Z,"Expected Rate was $2.3988 vs Billed Rate of $2.4107. Please issue Credit and Rebill. ",OE00040082,25-538976,Carrix,SSAT - Seattle - T18 CEM - 1359 SW Lander St,dispute_active,,disputed,price_discrepancy,87 Unleaded (w/10% Eth),2.3988,2.4107,0.0119,500,5.95,,,,
PO49134,2025-12-16T13:52:22.474Z,Expected Pricing was $2.3165 vs. Billed Pricing at $2.2941. Please correct and issue Credit Rebill.,OE00040031,27298127,Carrix,LSI - Columbus - 1864 Port Access Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.3165,2.2941,-0.0224,1591,-35.6384,,,,
PO49042,2025-12-16T13:15:37.150Z,"Expected Pricing was $2.8414 vs. Billed Pricing of $2.901397. Please issue Credit Rebill to correct. ",OE00039841,IN-1673226A,Carrix,SSA Atlantic - Morehead City - 113 Arendell St Ste 208,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.8414,2.901397,0.059997,1417.5,85.0457475,,,,
PO49084,2025-12-16T13:11:46.186Z,Pricing should have been $2.511 vs. $2.571002,OE00039843,IN-1681867A,Carrix,SSA Atlantic - Morehead City - 113 Arendell St Ste 208,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,2.511,2.571002,0.060002,1658.4,99.5073168,,,,
PO49126,2025-12-15T19:14:00.238Z,Waiting on corrected invoice.,OE00039072,CFS-4443338,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3783,40,36.6217,1,36.6217,,,,
PO49126,2025-12-15T19:14:00.238Z,Waiting on corrected invoice.,OE00039072,CFS-4443338,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3783,3.92329,0.54499,49.8,27.140501999999998,,,,
PO49126,2025-12-15T19:14:00.238Z,Waiting on corrected invoice.,OE00039072,CFS-4443338,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3783,3.9231,0.5448,61.9,33.723119999999994,,,,
PO49126,2025-12-15T19:14:00.238Z,Waiting on corrected invoice.,OE00039072,CFS-4443338,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3783,3.92321,0.54491,76.7,41.794597,,,,
PO49126,2025-12-15T19:14:00.238Z,Waiting on corrected invoice.,OE00039072,CFS-4443338,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3783,3.92339,0.54509,77.4,42.189966,,,,
PO49126,2025-12-15T19:14:00.238Z,Waiting on corrected invoice.,OE00039072,CFS-4443338,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3783,3.92328,0.54498,78.6,42.835428,,,,
PO49126,2025-12-15T19:14:00.238Z,Waiting on corrected invoice.,OE00039072,CFS-4443338,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3783,3.92316,0.54486,72.1,39.284406,,,,
PO49126,2025-12-15T19:14:00.238Z,Waiting on corrected invoice.,OE00039072,CFS-4443338,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3783,3.92291,0.54461,51.5,28.047415,,,,
PO49125,2025-12-15T19:05:19.335Z,Waiting on corrected invoice,OE00039174,CFS-4443391,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3611,3.90424,0.54314,115.7,62.841297999999995,,,,
PO49125,2025-12-15T19:05:19.335Z,Waiting on corrected invoice,OE00039174,CFS-4443391,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3611,3.90403,0.54293,59.6,32.358628,,,,
PO49125,2025-12-15T19:05:19.335Z,Waiting on corrected invoice,OE00039174,CFS-4443391,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3611,3.90155,0.54045,110,59.4495,,,,
PO49125,2025-12-15T19:05:19.335Z,Waiting on corrected invoice,OE00039174,CFS-4443391,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3611,3.9,0.5389,0.4,0.21556000000000003,,,,
PO49125,2025-12-15T19:05:19.335Z,Waiting on corrected invoice,OE00039174,CFS-4443391,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3611,3.90147,0.54037,95,51.33515,,,,
PO49125,2025-12-15T19:05:19.335Z,Waiting on corrected invoice,OE00039174,CFS-4443391,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3611,3.90404,0.54294,76.7,41.643498,,,,
PO49125,2025-12-15T19:05:19.335Z,Waiting on corrected invoice,OE00039174,CFS-4443391,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3611,3.90404,0.54294,71.8,38.983092,,,,
PO49124,2025-12-15T18:59:32.540Z,Waiting on corrected invoice,OE00039322,CFS-4455401,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.394,3.94076,0.54676,86.6,47.349416,,,,
PO49124,2025-12-15T18:59:32.540Z,Waiting on corrected invoice,OE00039322,CFS-4455401,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.394,3.9409,0.5469,71.4,39.048660000000005,,,,
PO49124,2025-12-15T18:59:32.540Z,Waiting on corrected invoice,OE00039322,CFS-4455401,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.394,3.94068,0.54668,44,24.05392,,,,
PO49123,2025-12-15T18:52:36.745Z,Waiting on corrected invoice.,OE00039363,CFS-4460404,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3354,3.87543,0.54003,63.5,34.291905,,,,
PO49123,2025-12-15T18:52:36.745Z,Waiting on corrected invoice.,OE00039363,CFS-4460404,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3354,3.8752,0.5398,36.7,19.81066,,,,
PO49123,2025-12-15T18:52:36.745Z,Waiting on corrected invoice.,OE00039363,CFS-4460404,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3354,3.87519,0.53979,52,28.06908,,,,
PO49123,2025-12-15T18:52:36.745Z,Waiting on corrected invoice.,OE00039363,CFS-4460404,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3354,3.87517,0.53977,87.8,47.391805999999995,,,,
PO49122,2025-12-15T18:49:45.907Z,Waiting on corrected invoice,OE00039415,CFS-4460520,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3176,3.7914,0.4738,55.8,26.438039999999997,,,,
PO49122,2025-12-15T18:49:45.907Z,Waiting on corrected invoice,OE00039415,CFS-4460520,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3176,3.79116,0.47356,49.8,23.583287999999996,,,,
PO49122,2025-12-15T18:49:45.907Z,Waiting on corrected invoice,OE00039415,CFS-4460520,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3176,3.791,0.4734,60,28.404,,,,
PO49122,2025-12-15T18:49:45.907Z,Waiting on corrected invoice,OE00039415,CFS-4460520,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3176,3.79093,0.47333,47.4,22.435841999999997,,,,
PO49121,2025-12-15T18:47:42.955Z,Waiting on Corrected Invoices,OE00039601,CFS-4460993,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3548,3.83243,0.47763,121.5,58.032045,,,,
PO49121,2025-12-15T18:47:42.955Z,Waiting on Corrected Invoices,OE00039601,CFS-4460993,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3548,3.83259,0.47779,67.5,32.250825,,,,
PO49121,2025-12-15T18:47:42.955Z,Waiting on Corrected Invoices,OE00039601,CFS-4460993,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.3548,3.83252,0.47772,45.2,21.592944,,,,
PO49119,2025-12-15T18:46:13.928Z,Waiting on Corrected Invoices,OE00039756,CFS-4462453,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.1255,3.57657,0.45107,39.7,17.907479000000002,,,,
PO49119,2025-12-15T18:46:13.928Z,Waiting on Corrected Invoices,OE00039756,CFS-4462453,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.1255,3.57589,0.45039,14.1,6.350499,,,,
PO49119,2025-12-15T18:46:13.928Z,Waiting on Corrected Invoices,OE00039756,CFS-4462453,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.1255,3.57633,0.45083,33.8,15.238053999999998,,,,
PO49119,2025-12-15T18:46:13.928Z,Waiting on Corrected Invoices,OE00039756,CFS-4462453,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.1255,3.57643,0.45093,105.2,47.437836000000004,,,,
PO49119,2025-12-15T18:46:13.928Z,Waiting on Corrected Invoices,OE00039756,CFS-4462453,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.1255,3.5764,0.4509,71.2,32.10408,,,,
PO49119,2025-12-15T18:46:13.928Z,Waiting on Corrected Invoices,OE00039756,CFS-4462453,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.1255,3.5763,0.4508,57.8,26.05624,,,,
PO49119,2025-12-15T18:46:13.928Z,Waiting on Corrected Invoices,OE00039756,CFS-4462453,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.1255,3.57671,0.45121,85,38.35285,,,,
PO49119,2025-12-15T18:46:13.928Z,Waiting on Corrected Invoices,OE00039756,CFS-4462453,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.1255,3.57692,0.45142,27.3,12.323765999999999,,,,
PO49110,2025-12-15T17:20:31.822Z,Billed $2.455402 vs. $2.365 Expected. Please Credit Rebill to correct.,OE00039839,25-537183,Carrix,SSAT - Seattle - T5 CEM - 3443 W Marginal Way SW,dispute_active,,disputed,price_discrepancy,87 Unleaded (w/10% Eth),2.365,2.455402,0.090402,2951,266.776302,,,,
PO49053,2025-12-12T18:27:40.053Z,Needing Taxes broken out from pricing.,OE00039037,CFS-4442851,Carrix,9999 - Pacific Rail Services LLC - 9050 Strauss Rd,dispute_active,,disputed,price_discrepancy,Red Dye Diesel #2 - ULS,3.4274,3.978,0.5506,75.9,41.79054,,,,
